date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:27	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jun%202020%2008:37:16%20GMT	https://sweetchild00008.wixsite.com/mysite/robots.txt	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite/robots.txt	(from https://sweetchild00008.wixsite.com/mysite/resume)
16:36:28	497742/497742	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202020%2008:37:14%20GMT	https://sweetchild00008.wixsite.com/mysite/contact	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite/contact.html	(from https://sweetchild00008.wixsite.com/mysite)
16:36:28	269/269	---M--	200	added ('OK')	text/xml	etag:157df56caba4399355f1f248087cdfc5	https://sweetchild00008.wixsite.com/mysite/sitemap.xml	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite/sitemap.xml	(from https://sweetchild00008.wixsite.com/mysite/resume)
16:36:29	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jun%202020%2008:37:18%20GMT	https://sweetchild00008.wixsite.com/mysite/feed.xml	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite/feed.xml	(from https://sweetchild00008.wixsite.com/mysite/resume)
16:36:30	900057/900057	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202020%2008:37:13%20GMT	https://sweetchild00008.wixsite.com/mysite/projects	C:/My%20Web%20Sites/warren/sweetchild00008.wixsite.com/mysite/projects.html	(from https://sweetchild00008.wixsite.com/mysite)
16:36:32	29651/29651	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2008:37:21%20GMT	https://static.wixstatic.com/media/f0f7a1586c2073f8b87fc10fb9a32d43.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/f0f7a1586c2073f8b87fc10fb9a32d43.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/f0f7a1586c2073f8b87fc10fb9a32d43.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/f0f7a1586c2073f8b87fc10fb9a32d43.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:33	22438/22438	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2002:15:21%20GMT	https://static.wixstatic.com/media/5f1581a0644c9ef816974e9f9a6e6632.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/5f1581a0644c9ef816974e9f9a6e6632.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/5f1581a0644c9ef816974e9f9a6e6632.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/5f1581a0644c9ef816974e9f9a6e6632.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:33	16296/16296	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2002:15:22%20GMT	https://static.wixstatic.com/media/3dc3df4d94e322536a8036acb74e9e01.jpg/v1/fill/w_454,h_287,fp_0.50_0.50,q_90/3dc3df4d94e322536a8036acb74e9e01.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/3dc3df4d94e322536a8036acb74e9e01.jpg/v1/fill/w_454,h_287,fp_0.50_0.50,q_90/3dc3df4d94e322536a8036acb74e9e01.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:33	22289/22289	---M--	200	added ('OK')	image/png	etag:%22f0a71efb001eeacd7d8eed9114912a3a%22	https://static.wixstatic.com/media/38e04d7460b845d38719e2f7a8554014.png/v1/fill/w_510,h_287,fp_0.50_0.50/38e04d7460b845d38719e2f7a8554014.png	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/38e04d7460b845d38719e2f7a8554014.png/v1/fill/w_510,h_287,fp_0.50_0.50/38e04d7460b845d38719e2f7a8554014.png	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:34	44640/44640	---M--	200	added ('OK')	image/png	etag:%22d1cc789117fa23ecf8d2b71601b97c74%22	https://static.wixstatic.com/media/a59e25586541482c9177213dd4672b6c.png/v1/fill/w_510,h_287,fp_0.50_0.50/a59e25586541482c9177213dd4672b6c.png	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/a59e25586541482c9177213dd4672b6c.png/v1/fill/w_510,h_287,fp_0.50_0.50/a59e25586541482c9177213dd4672b6c.png	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:34	34806/34806	---M--	200	added ('OK')	image/png	etag:%22228596021fb24b588e23b9f1244c99dc%22	https://static.wixstatic.com/media/ab9ba22e15614ef892a5f5460e805a2d.png/v1/fill/w_510,h_287,fp_0.50_0.50/ab9ba22e15614ef892a5f5460e805a2d.png	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/ab9ba22e15614ef892a5f5460e805a2d.png/v1/fill/w_510,h_287,fp_0.50_0.50/ab9ba22e15614ef892a5f5460e805a2d.png	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:35	41686/41686	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2002:15:22%20GMT	https://static.wixstatic.com/media/f57433d9e066f6875568478c4782ee07.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/f57433d9e066f6875568478c4782ee07.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/f57433d9e066f6875568478c4782ee07.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/f57433d9e066f6875568478c4782ee07.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:35	21580/21580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2007:18:49%20GMT	https://static.wixstatic.com/media/2826eb6139e547319fb9fe6f1fc33618.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/2826eb6139e547319fb9fe6f1fc33618.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/2826eb6139e547319fb9fe6f1fc33618.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/2826eb6139e547319fb9fe6f1fc33618.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:35	33081/33081	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2007:18:49%20GMT	https://static.wixstatic.com/media/dc5d5711b3924fa697781873af51c84b.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/dc5d5711b3924fa697781873af51c84b.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/dc5d5711b3924fa697781873af51c84b.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/dc5d5711b3924fa697781873af51c84b.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
16:36:38	39819/39819	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2002:15:21%20GMT	https://static.wixstatic.com/media/a049795aa3674b9e91cd97e84aca04c4.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/a049795aa3674b9e91cd97e84aca04c4.jpg	C:/My%20Web%20Sites/warren/static.wixstatic.com/media/a049795aa3674b9e91cd97e84aca04c4.jpg/v1/fill/w_510,h_287,fp_0.50_0.50,q_90/a049795aa3674b9e91cd97e84aca04c4.jpg	(from https://sweetchild00008.wixsite.com/mysite/projects)
